Model,Noise_Type,SNR_dB,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std
MTL U-Net,Gaussian,-30,8.68,0.85,0.025,0.017
MTL U-Net,Gaussian,-25,11.13,1.04,0.066,0.033
MTL U-Net,Gaussian,-20,13.74,1.21,0.16,0.058
MTL U-Net,Gaussian,-15,16.14,1.35,0.302,0.084
MTL U-Net,Gaussian,-10,17.96,1.39,0.427,0.087
MTL U-Net,Sp,-30,18.93,1.73,0.634,0.105
MTL U-Net,Sp,-25,18.94,1.75,0.633,0.106
MTL U-Net,Sp,-20,18.96,1.73,0.634,0.106
MTL U-Net,Sp,-15,18.93,1.74,0.633,0.106
MTL U-Net,Sp,-10,18.96,1.74,0.635,0.106
MTL U-Net,Burst,-30,25.35,0.62,0.889,0.049
MTL U-Net,Burst,-25,25.35,0.62,0.889,0.049
MTL U-Net,Burst,-20,25.33,0.63,0.888,0.048
MTL U-Net,Burst,-15,25.38,0.64,0.888,0.049
MTL U-Net,Burst,-10,25.35,0.65,0.891,0.048
Baseline U-Net,Gaussian,-30,5.07,0.5,0.008,0.008
Baseline U-Net,Gaussian,-25,5.14,0.5,0.01,0.009
Baseline U-Net,Gaussian,-20,5.26,0.5,0.014,0.009
Baseline U-Net,Gaussian,-15,5.47,0.49,0.021,0.01
Baseline U-Net,Gaussian,-10,5.87,0.49,0.035,0.015
Baseline U-Net,Sp,-30,10.53,1.5,0.276,0.075
Baseline U-Net,Sp,-25,10.53,1.5,0.275,0.075
Baseline U-Net,Sp,-20,10.53,1.5,0.276,0.075
Baseline U-Net,Sp,-15,10.53,1.51,0.276,0.076
Baseline U-Net,Sp,-10,10.53,1.5,0.275,0.075
Baseline U-Net,Burst,-30,11.59,1.39,0.357,0.078
Baseline U-Net,Burst,-25,11.59,1.4,0.358,0.078
Baseline U-Net,Burst,-20,11.6,1.4,0.358,0.078
Baseline U-Net,Burst,-15,11.59,1.4,0.357,0.077
Baseline U-Net,Burst,-10,11.59,1.39,0.358,0.078
CAE,Gaussian,-30,12.64,2.4,0.12,0.071
CAE,Gaussian,-25,12.66,2.39,0.126,0.078
CAE,Gaussian,-20,12.67,2.39,0.128,0.08
CAE,Gaussian,-15,12.67,2.39,0.129,0.081
CAE,Gaussian,-10,12.67,2.39,0.128,0.08
CAE,Sp,-30,12.67,2.39,0.129,0.081
CAE,Sp,-25,12.67,2.39,0.129,0.081
CAE,Sp,-20,12.67,2.39,0.129,0.081
CAE,Sp,-15,12.67,2.39,0.129,0.081
CAE,Sp,-10,12.67,2.39,0.129,0.081
CAE,Burst,-30,12.67,2.39,0.129,0.081
CAE,Burst,-25,12.67,2.39,0.129,0.081
CAE,Burst,-20,12.67,2.39,0.129,0.081
CAE,Burst,-15,12.67,2.39,0.129,0.081
CAE,Burst,-10,12.67,2.39,0.129,0.081
DnCNN,Gaussian,-30,7.43,0.58,0.015,0.015
DnCNN,Gaussian,-25,9.22,0.7,0.035,0.021
DnCNN,Gaussian,-20,11.46,0.76,0.094,0.042
DnCNN,Gaussian,-15,13.19,0.72,0.192,0.065
DnCNN,Gaussian,-10,14.69,0.72,0.289,0.08
DnCNN,Sp,-30,18.94,1.73,0.635,0.106
DnCNN,Sp,-25,18.92,1.76,0.632,0.106
DnCNN,Sp,-20,18.93,1.74,0.633,0.106
DnCNN,Sp,-15,18.94,1.74,0.633,0.106
DnCNN,Sp,-10,18.93,1.74,0.633,0.106
DnCNN,Burst,-30,25.34,0.63,0.886,0.049
DnCNN,Burst,-25,25.33,0.61,0.888,0.047
DnCNN,Burst,-20,25.34,0.66,0.89,0.047
DnCNN,Burst,-15,25.33,0.64,0.89,0.048
DnCNN,Burst,-10,25.3,0.63,0.889,0.049
